Volledige opname,concert,5,508.3,878.4,1248.5,1701.5,2099.3,2469.4,2811.9,3126.7,3413.9,3673.5,1476.7,2608.5,3740.4,5079.1,6279.9,7411.7,8474.6,9468.5,10393.4,11249.4,2107.3,3694.8,5282.3,7142.5,8820.8,10408.3,11904.9,13310.6,14625.4,15849.3,5813.1,10387.6,14962.1,20240.6,25049.8,29624.3,33964.2,38069.4,41940,45576,1
Volledige opname,concert,6,536.2,934.3,1332.4,1813.3,2239,2637.1,3007.5,3350.3,3665.5,3953,1527.5,2710.2,3892.8,5282.4,6534,7716.7,8830.3,9875.1,10850.8,11757.6,2213.2,3906.6,5599.9,7566,9350.3,11043.6,12646.1,14157.7,15578.4,16908.2,5892.2,10545.9,15199.5,20557.1,25445.4,30099.1,34518.1,38702.5,42652.2,46367.3,1
Volledige opname,concert,7,564.2,990.2,1416.2,1925.1,2378.7,2804.7,3203.1,3573.9,3917,4232.4,1578.3,2811.8,4045.3,5485.7,6788.1,8021.6,9186.1,10281.6,11308.2,12265.8,2342.4,4164.9,5987.4,8082.7,9996.1,11818.6,13550.3,15191,16740.9,18199.8,6051.2,10863.9,15676.5,21193.1,26240.4,31053.1,35631.1,39974.4,44083.2,47957.2,1
Volledige opname,concert,8,592.1,1046.1,1500,2036.9,2518.5,2972.4,3398.7,3797.4,4168.5,4511.9,1629.1,2913.4,4197.7,5688.9,7042.2,8326.5,9541.8,10688.2,11765.6,12774,2471.5,4423.2,6374.9,8599.3,10641.9,12593.6,14454.5,16224.4,17903.4,19491.5,6246.5,11254.5,16262.4,21974.3,27216.9,32224.8,36998.1,41536.8,45840.8,49910.2,1
Volledige opname,concert,9,620.1,1102,1583.9,2148.7,2658.2,3140.1,3594.3,4021,4420,4791.3,1703.2,3061.5,4419.9,5985.1,7412.5,8770.8,10060.2,11280.6,12432,13514.5,2600.7,4681.6,6762.4,9116,11287.8,13368.6,15358.6,17257.7,19065.9,20783.2,6511.5,11784.4,17057.4,23034.2,28541.8,33814.8,38853.1,43656.7,48225.7,52560.1,1
Volledige opname,concert,10,648,1157.9,1667.7,2260.4,2797.9,3307.8,3790,4244.5,4671.5,5070.8,1800.5,3256.1,4711.7,6374.3,7898.9,9354.5,10741.2,12058.9,13307.6,14487.3,2729.9,4939.9,7149.9,9632.7,11933.6,14143.7,16262.8,18291.1,20228.4,22074.9,6846.2,12453.8,18061.4,24373,30215.2,35822.9,41195.9,46334.2,51237.9,55906.9,1
Volledige opname,concert,11,676,1213.7,1751.5,2372.2,2937.6,3475.4,3985.6,4468.1,4923,5350.2,1897.8,3450.7,5003.6,6763.4,8385.3,9938.2,11422.2,12837.1,14183.1,15460.2,2859,5198.2,7537.4,10149.3,12579.5,14918.7,17167,19324.4,21390.9,23366.6,7180.9,13123.2,19065.5,25711.7,31888.7,37831,43538.7,49011.7,54250.1,59253.8,1
Volledige opname,concert,12,703.9,1269.6,1835.4,2484,3077.4,3643.1,4181.2,4691.7,5174.5,5629.7,1995,3645.2,5295.4,7152.6,8871.7,10521.9,12103.1,13615.4,15058.7,16433,2988.2,5456.6,7925,10666,13225.3,15693.7,18071.2,20357.7,22553.4,24658.2,7515.6,13792.5,20069.5,27050.5,33562.1,39839.1,45881.5,51689.2,57262.2,62600.7,1
Volledige opname,concert,13,731.8,1325.5,1919.2,2595.8,3217.1,3810.8,4376.8,4915.2,5426,5909.1,2092.3,3839.8,5587.3,7541.7,9358.1,11105.6,12784.1,14393.7,15934.2,17405.9,3117.4,5714.9,8312.5,11182.7,13871.1,16468.7,18975.3,21391.1,23715.9,25949.9,7850.2,14461.9,21073.6,28389.2,35235.5,41847.2,48224.3,54366.7,60274.4,65947.5,1
Volledige opname,concert,14,759.8,1381.4,2003,2707.6,3356.8,3978.4,4572.4,5138.8,5677.5,6188.6,2189.6,4034.4,5879.1,7930.8,9844.6,11689.3,13465.1,15171.9,16809.8,18378.7,3246.5,5973.2,8700,11699.4,14517,17243.7,19879.5,22424.4,24878.5,27241.6,8184.9,15131.3,22077.7,29728,36909,43855.3,50567.1,57044.1,63286.6,69294.4,1
